type	rank	popularity	fpid	kind	name
a	333	0.0562	9781118290279	book	Michael T. Goodrich
a	333	0.0562	9781118290279	book	Roberto Tamassia
f	334	0.0560	9781119288367	book	CCNA Routing and Switching Complete Review Guide, 2nd Edition
a	334	0.0560	9781119288367	book	Todd Lammle
f	335	0.0560	9780133846751	book	IP Routing on Cisco IOS, IOS XE, and IOS XR: An Essential Guide to Understanding and Implementing IP Routing Protocols
a	335	0.0560	9780133846751	book	Aaron Foss
a	335	0.0560	9780133846751	book	Brad Edgeworth
a	335	0.0560	9780133846751	book	Ramiro Garza Rios
f	336	0.0559	9781491973882	book	The Manager's Path
a	336	0.0559	9781491973882	book	Camille Fournier
f	337	0.0558	9781788394086	video	The Ultimate Vue JS 2 Developers Course
a	337	0.0558	9781788394086	video	Anthony Gore
f	338	0.0557	0636920097037	olt	Implementing and Troubleshooting TCP/IP
a	338	0.0557	0636920097037	olt	Ric Messier
f	339	0.0556	9780134680842	book	Certified Ethical Hacker (CEH) Version 9 Cert Guide, Second Edition
a	339	0.0556	9780134680842	book	Michael Gregg
f	340	0.0555	9781491969267	book	Hadoop in the Enterprise: Architecture
a	340	0.0555	9781491969267	book	Ian Buss
a	340	0.0555	9781491969267	book	Jan Kunigk
a	340	0.0555	9781491969267	book	Lars George
a	340	0.0555	9781491969267	book	Paul Wilkinson
f	341	0.0554	0636920105619	olt	AWS Basics for VMware Administrators
a	341	0.0554	0636920105619	olt	Vincent Castro
f	342	0.0554	9780134383644	video	Java 8 Lambda Expressions and Streams
a	342	0.0554	9780134383644	video	Marty Hall
f	343	0.0554	9781119288787	book	CCENT ICND1 Study Guide, 3rd Edition
a	343	0.0554	9781119288787	book	Todd Lammle
f	344	0.0552	0636920105978	olt	Explore, visualize, and predict using pandas and Jupyter
a	344	0.0552	0636920105978	olt	Matt Harrison
f	345	0.0551	9780134664354	video	CCNA Routing and Switching ICND2 200-105
a	345	0.0551	9780134664354	video	Kevin Wallace
f	346	0.0551	9781787125933	book	Python Machine Learning - Second Edition
a	346	0.0551	9781787125933	book	Sebastian Raschka
a	346	0.0551	9781787125933	book	Vahid Mirjalili
f	347	0.0551	0636920084396	olt	Agile for Everybody
a	347	0.0551	0636920084396	olt	Matt LeMay
f	348	0.0548	9781787128422	book	Deep Learning with Keras
a	348	0.0548	9781787128422	book	Antonio Gulli
a	348	0.0548	9781787128422	book	Sujit Pal
f	349	0.0547	9781491959442	video	Learning Chef for Linux and macOS
a	349	0.0547	9781491959442	video	Mischa Taylor
f	350	0.0546	9781119360971	book	CCNA Routing and Switching Practice Tests
a	350	0.0546	9781119360971	book	Jon Buhagiar
f	351	0.0546	9780134389363	video	Continuous Delivery
a	351	0.0546	9780134389363	video	Jez Humble
f	352	0.0546	9781259585081	book	CISSP Practice Exams, Fourth Edition, 4th Edition
a	352	0.0546	9781259585081	book	Shon Harris
f	353	0.0543	9780134307183	book	CCNA Wireless 200-355 Official Cert Guide
a	353	0.0543	9780134307183	book	David Hucaby
f	354	0.0542	9781787280236	video	Learning Path: Modern DevOps
a	354	0.0542	9781787280236	video	Taabish Khan - Curator
f	355	0.0541	9781449325053	book	CSS: The Definitive Guide, 4th Edition
a	355	0.0541	9781449325053	book	Eric A. Meyer
a	355	0.0541	9781449325053	book	Estelle Weyl
f	356	0.0541	9781457185519	book	How Linux Works, 2nd Edition
a	356	0.0541	9781457185519	book	Brian Ward
f	357	0.0540	9780134598147	book	Expert Hadoop Administration
a	357	0.0540	9780134598147	book	Sam R. Alapati
f	358	0.0540	9780992133047	book	Java: A Beginner's Tutorial, 4th Edition (Updated for Java SE 8)
a	358	0.0540	9780992133047	book	Budi Kurniawan
f	359	0.0539	9780132954389	book	Cisco ASA: All-in-One Next-Generation Firewall, IPS, and VPN Services, Third Edition
a	359	0.0539	9780132954389	book	Andrew Ossipov
a	359	0.0539	9780132954389	book	Jazib Frahim
